NSSF CODES,Operation,LOS,Surgeon,Anesthetist,2 Consultants,Hospital I,Hospital II,Hospital III,Total I,Total II,Total III,Notes
44005,"Enterolysis  with acute  bowel  obstruction
(separate  procedure)",4,28000000,9500000,4000000,91000000,82000000,72000000,132500000,123500000,113500000,including trocars
44050,"Reduction of volvulus, intussusception,
internal  hernia, by laparatomy",4,28000000,9500000,4000000,91000000,82000000,72000000,132500000,123500000,113500000,
44120,Enterectomy: wi th anas tomos i s,6,35500000,12000000,4000000,112000000,100000000,89000000,163500000,151500000,140500000,
44140,"Colectomy, partial: with anastomosis  or skin 
level  cecostomy or colostomy",7,39000000,13500000,4000000,153000000,138000000,124000000,209500000,194500000,180500000,
44146,"Colectomy, partial: with colpoproctostomy
(low pelvic anastomosis), with or without colostomy",5,48500000,15500000,4000000,144000000,129500000,115000000,212000000,197500000,183000000,
44625,"Closure  of enterostomy, large  or small 
intestine: with or without  resection and anastomosis ",5,28000000,9500000,4000000,95500000,86000000,76000000,137000000,127500000,117500000,
44950,"Appendectomy, any method (non-incidental
procedure)",3,22500000,7500000,4000000,55000000,49000000,44000000,89000000,83000000,78000000,
46040,"Incision and drainage  of ischiorectal, 
perirectal  or perianal  abscess   (separate",1,16500000,5500000,4000000,34000000,31000000,27500000,60000000,57000000,53500000,
46200,"Fissurectomy, with or without sphincterotomy",1,16500000,5500000,4000000,34000000,31000000,27500000,60000000,57000000,53500000,
46260,"Hemorrhoidectomy, external  and/or internal",1,16500000,5500000,4000000,31000000,28000000,25000000,57000000,54000000,51000000,
46262,"Hemorrhoidectomy, internal  and external:
with fistulectomy and/or fissurectomy",2,16500000,5500000,4000000,39000000,35000000,31000000,65000000,61000000,57000000,
46270,"Surgical  treatment of anal  fistula: fistulotomy
/ fistulectomy  (separate  procedure)",1,16500000,5500000,4000000,37000000,33500000,30000000,63000000,59500000,56000000,
46750,"Sphincteroplasty, anal, for incontinence  or
prolapse",3,24000000,8000000,4000000,39000000,35000000,31000000,75000000,71000000,67000000,
47120,Hepatectomy: partial  lobectomy,6,49000000,16500000,4000000,170000000,137000000,115000000,239500000,206500000,184500000,
47122,Hepa tectomy: tri segmentectomy,10,75000000,25000000,4000000,210000000,179000000,150000000,314000000,283000000,254000000,
