NSSF CODES,Operation,LOS,Surgeon,Anesthetist,2 Consultants,Hospital I,Hospital II,Hospital III,Total I,Total II,Total III,Notes
25076,"Excision, tumor , forearm and/or wrist area: 
deep, subfascial  or intramuscular ",1,10500000,6000000,4000000,21500000,17500000,14000000,42000000,38000000,34500000,
25077,"Radical  resection of tumor (eg, malignant neoplasm), soft tissue  of forearm and/or
wrist area",1,14500000,6500000,4000000,35000000,27000000,21000000,60000000,52000000,46000000,
25110,"Excision, lesion of tendon sheath, forearm
and/or wrist",1,10500000,6000000,4000000,18000000,14500000,11500000,38500000,35000000,32000000,
25111,"Excision of ganglion, wrist (dorsal  or volar)",1,10500000,6000000,4000000,18000000,14500000,11500000,38500000,35000000,32000000,
25260,"Repair, tendon or muscle, flexor, forearm
and/or wrist: primary or secondary, single, each tendon or muscle",1,13000000,4500000,4000000,31000000,28000000,25000000,52500000,49500000,46500000,
25270,"Repair, tendon or muscle, extensor, forearm and/or wrist: primary or secondary, single,
each tendon or muscle",1,13000000,4500000,4000000,31000000,28000000,25000000,52500000,49500000,46500000,
25515,"Open treatment of radial  shaft fracture:
with/without internal  or external  fixation",1,22500000,7500000,4000000,35000000,27500000,21500000,69000000,61500000,55500000,
25520,"Closed treatment of radial  shaft fracture, with dislocation of distal  radioulnar joint
(Galeazzi  fracture/dislocation)",1,13000000,5500000,4000000,22000000,17500000,13500000,44500000,40000000,36000000,
25526,"Open treatment of radial  shaft fracture, with internal  and/or external  fixation, with or
without internal  or external  fixation of distal radioulnar joint, includes  repair of triangular cartilage, with or without percutaneous
skeletal  fixation",1,22500000,7500000,4000000,75500000,58000000,45500000,109500000,92000000,79500000,
25545,"Open treatment of ulnar shaft fracture:
with/without internal  or external  fixation",1,22500000,7500000,4000000,35000000,27500000,21500000,69000000,61500000,55500000,
25574,"Open treatment of radial  and ulnar shaft
fractures, with internal  or external  fixation of radius  or ulna",1,13000000,5500000,4000000,30500000,24000000,18500000,53000000,46500000,41000000,
25575,"Open treatment of radial  and ulnar shaft
fractures, with internal  or external  fixation: of radius  and ulna",3,22500000,7500000,4000000,65000000,58000000,52000000,99000000,92000000,86000000,
25605,"Closed treatment of distal  radial  fracture (Colles  or Smith type) or epiphyseal 
separation, with or without fracture  of ulnar
styloid: with manipulation",1,13000000,4500000,4000000,37000000,33000000,29000000,58500000,54500000,50500000,
25611,"Percutaneous  skeletal  fixation of distal 
radial  fracture  or epiphyseal  separation, with or without fracture  of ulnar styloid, requiring manipulation, with or without external ",1,13000000,4500000,4000000,37000000,33000000,29000000,58500000,54500000,50500000,
25620,"Open treatment of distal  radial  fracture, or epiphyseal  separation, with or without
fracture  of ulnar styloid, with or without
internal  or external  fixation",3,22500000,7500000,4000000,52000000,45000000,40000000,86000000,79000000,74000000,
26116,"Excision, tumor or vascular malformation,
hand or finger: deep, subfascial  intramuscular",1,16500000,6500000,4000000,19500000,16000000,13000000,46500000,43000000,40000000,
26117,"Radical  resection of tumor (eg, malignant
neoplasm) of soft tissues  of hand or finger",1,16500000,6500000,4000000,25500000,20500000,16000000,52500000,47500000,43000000,
26130,"Synovectomy, carpometacarpal  joint",1,16500000,6500000,4000000,25500000,20500000,16000000,52500000,47500000,43000000,
26160,"Excision of lesion of tendon sheath or
capsule  (eg, cyst or ganglion), hand or finger",1,10500000,6000000,4000000,25500000,20500000,16000000,46000000,41000000,36500000,
26615,"Open treatment of metacarpal  fracture,
single, with or without internal  or external fixation, each bone",1,15000000,5500000,4000000,41000000,36500000,32000000,65500000,61000000,56500000,
26990,"Incision and drainage, pelvis  or hip joint
area: deep abscess  or hematoma  or infected",1,12500000,6000000,4000000,30500000,24500000,19500000,16,47000000,42000000,
27049,"Radical  resection of tumor (eg, malignant
neoplasm), soft tissue  of pelvis  and hip area",1,29000000,10000000,4000000,44000000,34500000,27000000,87000000,77500000,70000000,
27087,"Removal  of foreign body, pelvis  or hip, deep",1,12500000,6000000,4000000,28000000,22500000,18000000,50500000,45000000,40500000,
27125,"Partial  hip replacement, prosthesis  (eg,
femoral  stem prosthesis, bipolar arthroplasty)",4,39500000,13500000,4000000,77000000,61000000,48500000,134000000,118000000,105500000,
